model,threshold,f1,mcc,recall,precision,cost
LogisticRegression_Balanced,0.37,0.18298555377207062,0.23494075953339316,0.8382352941176471,0.10270270270270271,10480
LogisticRegression_Balanced,0.38,0.18688524590163935,0.23942292438249838,0.8382352941176471,0.10516605166051661,10350
LogisticRegression_Balanced,0.39,0.19095477386934673,0.2440384655079426,0.8382352941176471,0.10775047258979206,10220
LogisticRegression_Balanced,0.4,0.19655172413793104,0.2502896972496879,0.8382352941176471,0.111328125,10050
LogisticRegression_Balanced,0.41000000000000003,0.19826086956521738,0.25217748882267704,0.8382352941176471,0.11242603550295859,10000
LogisticRegression_Balanced,0.42000000000000004,0.20212765957446807,0.2564137498361037,0.8382352941176471,0.11491935483870967,9890
LogisticRegression_Balanced,0.43,0.2087912087912088,0.26360703800119156,0.8382352941176471,0.1192468619246862,9710
LogisticRegression_Balanced,0.44,0.21189591078066913,0.26691500560343373,0.8382352941176471,0.12127659574468085,9630
LogisticRegression_Balanced,0.45,0.21673003802281368,0.272013851643107,0.8382352941176471,0.12445414847161572,9510
LogisticRegression_Balanced,0.46,0.22135922330097088,0.2768404520721108,0.8382352941176471,0.12751677852348994,9400
LogisticRegression_Balanced,0.47000000000000003,0.2275449101796407,0.2832095971718855,0.8382352941176471,0.13163972286374134,9260
LogisticRegression_Balanced,0.48000000000000004,0.22903885480572597,0.28211754084414853,0.8235294117647058,0.1330166270783848,9650
LogisticRegression_Balanced,0.49,0.23628691983122363,0.2894250297534004,0.8235294117647058,0.13793103448275862,9500
LogisticRegression_Balanced,0.5,0.24295010845986983,0.29604967588792735,0.8235294117647058,0.14249363867684478,9370
LogisticRegression_Balanced,0.51,0.24833702882483372,0.3013448563315989,0.8235294117647058,0.1462140992167102,9270
LogisticRegression_Balanced,0.52,0.2545454545454545,0.3073848410323705,0.8235294117647058,0.15053763440860216,9160
LogisticRegression_Balanced,0.53,0.24941176470588236,0.2944006116473648,0.7794117647058824,0.1484593837535014,10540
LogisticRegression_Balanced,0.54,0.2548076923076923,0.2995967540069448,0.7794117647058824,0.15229885057471265,10450
LogisticRegression_Balanced,0.55,0.26,0.3018751411302296,0.7647058823529411,0.1566265060240964,10800
LogisticRegression_Balanced,0.56,0.26804123711340205,0.3094535393286014,0.7647058823529411,0.1625,10680
LogisticRegression_Balanced,0.5700000000000001,0.2617801047120419,0.2982195129047958,0.7352941176470589,0.1592356687898089,11640
LogisticRegression_Balanced,0.5800000000000001,0.26595744680851063,0.3021351695475466,0.7352941176470589,0.16233766233766234,11580
LogisticRegression_Balanced,0.59,0.2670299727520436,0.3004667044174465,0.7205882352941176,0.16387959866220736,12000
